"field","data_id","plot","yield_tha","year","distance_to_tree_strip","tree_species","crop_unified","Latitude","Longitude","minLatitude","minLongitude","maxLatitude","maxLongitude","Area","swf_year","radius","prop_swf"
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",150,0
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",200,0
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",250,0
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",300,0
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",350,0.0112717471208037
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",400,0.0140157145890847
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",450,0.00638018389941828
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",50,0
"IhingerHof","koch25","22_4_18",1.51805882352941,2018,18,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",500,0.0112246607471938
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",100,0
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",150,0.0343949044585987
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",200,0.00957155879671832
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",250,0
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",300,0.0037593984962406
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",350,0.0421465327125704
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",400,0.0420471437672542
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",450,0.0249577781947833
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",50,0
"IhingerHof","koch25","22_4_18",4.19085185185185,2021,18,"hedge","barley",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",500,0.0432233204891942
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",100,0
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",150,0.0343949044585987
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",200,0.00957155879671832
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",250,0
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",300,0.0037593984962406
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",350,0.0421465327125704
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",400,0.0420471437672542
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",450,0.0249577781947833
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",50,0
"IhingerHof","koch25","22_4_18",5.05863636363636,2023,18,"hedge","wheat",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2021",500,0.0432233204891942
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",100,0
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",150,0
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",200,0
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",250,0
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",300,0
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",350,0.0112717471208037
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",400,0.0140157145890847
"IhingerHof","koch25","22_4_24",0.540961538461538,2018,24,"hedge","rye",48.745054396322,8.90991289509535,48.7438788650001,8.90789201400003,48.746216803,8.91210225600003,57623.7319704522,"prop_swf.2018",450,0.00638018389941828
