"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","yield_tha","yield_straw_tha","yield_total_tha","crop_unified"
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,0.530663980491586,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530663980491586,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,10.2017818501442,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2017818501442,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,12.4626634317739,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4626634317739,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r3",NA,16.9812205418546,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9812205418546,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,0.0804483333333333,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0804483333333333,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,12.1793294926038,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1793294926038,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,14.9289304101732,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9289304101732,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-AF-r4",NA,16.7839859167564,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7839859167564,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-C-r1",NA,15.18,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.18,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-C-r2",NA,16.58,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.58,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-C-r3",NA,14.76,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.76,NA,NA,"maize"
2019,NA,"Wendhausen","silage maize","W-C-r4",NA,15.47,"wendhausen1920","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.47,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,1.00618149967096,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00618149967096,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,13.1872331951148,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1872331951148,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,16.4948943240754,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4948943240754,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r1",NA,20.0387278584006,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0387278584006,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,0.653876627610367,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653876627610367,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,8.96104159137013,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96104159137013,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,17.7209375794879,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7209375794879,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r2",NA,18.1142855638754,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1142855638754,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,0.47002658191095,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47002658191095,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,6.68006189510362,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68006189510362,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,15.1769660951939,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1769660951939,NA,NA,"maize"
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,19.9262622189624,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9262622189624,NA,NA,"maize"
