"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","crop_unified","yield_tha","yield_straw_tha","yield_total_tha","harvestyear","treeage"
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,0.47002658191095,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",0.47002658191095,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,6.68006189510362,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",6.68006189510362,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,15.1769660951939,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",15.1769660951939,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r3",NA,19.9262622189624,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",19.9262622189624,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,0.919126617215768,"wendhausen1920","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",0.919126617215768,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,10.1690781190014,"wendhausen1920","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",10.1690781190014,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,16.9219685431998,"wendhausen1920","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",16.9219685431998,NA,NA,2013,7
2020,NA,"Wendhausen","silage maize","W-AF-r4",NA,32.6436611354305,"wendhausen1920","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"maize",32.6436611354305,NA,NA,2013,7
2021,NA,"Wendhausen","summer barley","W-AF-r1",3.8,4.250773252,"wendhausen21","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"barley",4.250773252,3.8,NA,2021,0
2021,NA,"Wendhausen","summer barley","W-AF-r1",4,5.283647738,"wendhausen21","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"barley",5.283647738,4,NA,2021,0
